store_id,store_code
6,glde
7,glgb
8,gles
9,glat
10,glch
11,glnl
12,glfr
13,gldk
14,glit
16,glfi
19,glse
26,glcombr
27,gljp
29,glau
30,glno
32,glbe
33,glbe
34,glpt
35,glch
36,glcommt
37,glsg
38,glca
39,glca
40,glie
41,glus
45,glcz
46,glhu
47,glhk
49,glkr
50,glpl
51,glro
52,glrs
53,glsk
54,glvn
55,glsi
56,glhr
57,gllt
58,glee
59,gllv
60,glconz
61,glch
62,glcommx
63,glae
64,glin
65,glcomar
66,glbg
68,glus
69,glcombo
70,glcomco
71,glcocr
72,glcomdo
73,glcomec
74,glcomgt
75,glhn
76,glcompe
78,gllocal
79,glcoza
80,glafrica
81,glafrica
82,glis
83,glafrica
84,glal
85,glcl
86,glcomph
87,glstore
88,glmd
89,glcomuy
90,glcomsv
91,glcompy
92,glcompa
93,glcompr
94,glcoid
95,glaz
96,glcomtw
97,glcomtw
98,glaz
99,glcommy
101,glcoth
