original_keyword,english_translation
Anello di fidanzamento,Engagement Ring
Anillo Boda Mujer,Women's Wedding Ring
Anillo Boda Hombre,Men's Wedding Ring
Anillo de compromiso,Engagement Ring
Anillo de boda,Wedding Ring
Braut-Set,Bridal Set
Brautset,Bridal Set
Brudesæt,Bridal Set
Brudset,Bridal Set
Brățară gleznă Dama,Women's Anklet
Chaîne cheville femme,Women's Anklet
Conjunto de joias,Jewelry Set
Conjunto de joyería,Jewelry Set
Damen armband,Women's Bracelet
Damen fußkette,Women's Anklet
Dames Enkelbandje,Women's Anklet
Anelli Nocca,Knuckle Ring
Anhänger,Pendant
Anillo,Ring
Anklet,Anklet
Anéis de Junção,Knuckle Ring
Armbanden,Bracelets
Armband,Bracelet
Armbånd,Bracelet
Auskaras į nosį,Nose Ring
Bague de Phalange,Phalanx Ring
Bague de Mariage,Wedding Ring
Bague pour femmes,Women's Ring
Bague pour enfant,Children's Ring
Bague,Ring
Bransoletka,Bracelet
Brățară,Bracelet
Butoni,Cufflinks
Cercel de Nas,Nose Ring
Colliery,Necklaces
Collierer,Necklaces
Collier,Necklace
Deguna pīrsings,Nose Piercing
Hanger,Pendant
Inel midi- pentru mijlocul degetelor,Midi Ring
Inel,Ring
Knokkelring,Knuckle Ring
Knöchelring,Knuckle Ring
Kolczyk do nosa,Nose Ring
Mini kloubový prsten,Mini Joint Ring
Nasenpiercing,Nose Piercing
Nenäkoru,Nose Ring
Nesesmykke,Nose Jewelry
Neus Pin,Nose Pin
Nivelsormus,Joint Ring
Nukisõrmus,Knuckle Ring
Náramek,Bracelet
Náramok,Bracelet
Náušnice,Earrings
Näspiercing,Nose Piercing
Næsepiercing,Nose Piercing
Ohrringe,Earrings
Orr piercing,Nose Piercing
Piercing Nariz,Nose Piercing
Piercing Nez,Nose Piercing
Piercing do nosa,Nose Piercing
Piercing do nosu,Nose Piercing
Pirsing Za Nos,Nose Piercing
Privjesak,Pendant
Prstenovi za Spojeve,Joint Rings
Broche,Brooch
Brosch,Brooch
Brosche,Brooch
Bross,Brooch
Broszka,Brooch
Brosă,Brooch
Brošňa,Brooch
Broš,Brooch
Brož,Brooch
Collar,Necklace
Collierek,Necklaces
Kolia,Necklace
Kolijer,Necklace
Lănțișor,Necklace
Piespraude,Brooch
Sagė,Brooch
Set de mireasă,Bridal Set
Spilla,Brooch
Verižica,Necklace
Брошка,Brooch
Колиета,Necklaces
브로치,Brooch
Herrenring,Men's Ring
Inel de Logodnă,Engagement Ring
Khuyên mũi,Nose Ring
Kihlasormus,Engagement Ring
Kinderarmband,Children's Bracelet
Kvindes ankelkæde,Women's Anklet
Naise jalavõru,Women's Anklet
Nhẫn đính hôn,Engagement Ring
Női bokalánc,Women's Anklet
Pierścionek zaręczynowy,Engagement Ring
Sada šperků,Jewelry Set
Schmuckset,Jewelry Set
Set di gioielli,Jewelry Set
Set nakita,Jewelry Set
Sieraden set,Jewelry Set
Smykkesæt,Jewelry Set
Tobillera de mujer,Women's Anklet
Tornozeleira Feminina,Women's Anklet
Zaročni prstan,Engagement Ring
Zaručnički prsten,Engagement Ring
Ékszerszett,Jewelry Set
Ženski gležnjar verižica,Women's Anklet
女士脚链,Women's Anklet
珠宝套装,Jewelry Set
여성 발찌,Women's Anklet
Anillo para Niño,Children's Ring
Barn anheng,Children's Pendant
Barns ørering,Children's Earring
Boucle d'oreille enfant,Children's Earring
Cercei copii,Children's Earring
Ciondolo da donna,Women's Pendant
Colgante de Mujer,Women's Pendant
Colgante para Niño,Children's Pendant
Coliere copii,Children's Necklace
Collier pour femme,Women's Necklace
Damen halskette,Women's Necklace
Dames Hanger,Women's Pendant
Detský prsteň,Children's Ring
Detský prívesok,Children's Pendant
Dječji privjesak,Children's Pendant
Dječji prsten,Children's Ring
Dámský náhrdelník,Women's Necklace
Dámský přívěsek,Women's Pendant
Dětský náušnice,Children's Earring
Gyűrű,Ring
Halskette,Necklace
Kulons,Pendant
Nyaklánc,Necklace
Obesek,Pendant
Pakabukas,Pendant
Privezak,Pendant
Prsteň,Ring
Prsten,Ring
Přívěsek,Pendant
Riipus,Pendant
Sormus,Ring
Sõrmus,Ring
Vedhæng,Pendant
Wisiorek,Pendant
Yüzük,Ring
팬던트,Pendant
Anheng,Pendant
Karkötő,Bracelet
Narukvica,Bracelet
Pierścionek,Ring
Pulsera,Bracelet
Inel copii,Children's Ring
Inel de Promisiune Femei,Women's Promise Ring
Kinder ring,Children's Ring
Kinderanhänger,Children's Pendant
Kinderhalskette,Children's Necklace
Kinderhanger,Children's Pendant
Kinderohrring,Children's Earring
Kinderoorbellen,Children's Earrings
Kinderring,Children's Ring
Kvindes vedhæng,Women's Pendant
Kvinnans halsband,Women's Necklace
Kvinnans hänge,Women's Pendant
Kvinnens anheng,Women's Pendant
Kvinnens halskjede,Women's Necklace
Naisen riipus,Women's Pendant
Női medál,Women's Pendant
Orecchino per bambino,Children's Earring
Otroška prstan,Children's Ring
Pandantiv Dama,Women's Pendant
Pendentif pour enfant,Children's Pendant
Pendentif pour femme,Women's Pendant
Pendiente para Niño,Children's Earring
Pingente Feminino,Women's Pendant
Vòng Tay,Bracelet
Wisiorki dziecięce,Children's Pendants
Ženski ogrlica,Women's Necklace
Дамска висулка,Women's Pendant
Детска висулка,Children's Pendant
Детска гривна,Children's Bracelet
Детска обица,Children's Earring
女士吊坠,Women's Pendant
Abielusõrmus,Wedding Ring
Alliance pour femme,Women's Wedding Ring
Alliance pour homme,Men's Wedding Ring
Alyans,Wedding Ring
Anel Casamento Masculino,Men's Wedding Ring
Anel de Casamento,Wedding Ring
Anello da donna,Women's Ring
Anello da uomo,Men's Ring
Anillo de hombre,Men's Ring
Anillo de mujer,Women's Ring
Verlobungsring,Engagement Ring
Verlovingsring,Engagement Ring
Forlovelsesring,Engagement Ring
Sužadėtuvių žiedas,Engagement Ring
Zásnubní prsten,Engagement Ring
Годежен пръстен,Engagement Ring
订婚戒指,Engagement Ring
Damen anhänger,Women's Pendant
Uhan za nos,Nose Ring
Za Nos Brnjica,Nose Ring
Пинове За Нос,Nose Pins
코 피어싱,Nose Piercing
リング,Ring
戒指,Ring
Žiedas,Ring
Пръстен,Ring
너클 반지,Knuckle Ring
Пръстени за фаланга,Phalanx Rings
Гривна,Bracelet
手链,Bracelet
男士耳环,Men's Earrings
Дамска обица,Women's Earring
女士耳环,Women's Earring
여성 귀걸이,Women's Earring
Bracelet за глезен,Anklet
Dames Ring,Women's Ring
Knogle Ring,Knuckle Ring
Knude Ringe,Knuckle Rings
Förlovningsring,Engagement Ring
Dámsky prsteň,Women's Ring
Dámsky svadobný prsteň,Women's Wedding Ring
Dámské prsteny,Women's Rings
Dámský snubní prsteny,Women's Wedding Ring
Férfi gyűrű,Men's Ring
Férfi karikagyűrű,Men's Wedding Ring
Muški vjenčani prsten,Men's Wedding Ring
Pánské prsteny,Men's Rings
Pánský snubní prsteny,Men's Wedding Ring
Pánsky prsteň,Men's Ring
Ringe til mænd,Men's Ring
Svadobné obrúčky,Wedding Rings
Mannens vigselring,Men's Wedding Ring
